npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1497794291,1374,1497794291,ROBERT STEINER,Allopathic & Osteopathic Physicians,Family Medicine,,1518346469,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",60,70,22.457,59.187,Family Medicine
1497802219,1359,1497802219,MAIE EL-SOURADY,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,310,445,2.366,6.782,Internal Medicine
1497847800,1359,1497847800,ALLEN NAFTILAN,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,77,100,46.48,65.234,Cardiovascular Disease
1497847800,1359,1497847800,ALLEN NAFTILAN,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,1398,2173,2.96,11.306,Cardiovascular Disease
1497893556,1374,1497893556,ERNEST JOHNSON,Allopathic & Osteopathic Physicians,General Practice,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,53,66,43.485,52.958,General Practice
1508002015,1336,1508002015,SELORM ADZOKPA,Allopathic & Osteopathic Physicians,Internal Medicine,,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,174,199,0.0,0.0,Internal Medicine
1508008053,1349,1508008053,TEMUJIN DINARAM,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1861479545,MAURY REGIONAL HOSPITAL,1282,1584,18.102,42.064,Interventional Cardiology
1508008053,1349,1508008053,TEMUJIN DINARAM,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1578591756,MAURY REGIONAL HOSPITAL MARSHALL MEDICAL CENTER,168,223,32.354,53.168,Interventional Cardiology
1508039751,1359,1508039751,CECELIA THEOBALD,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,208,399,1.519,7.755,Internal Medicine
1508182155,1359,1508182155,TARA HORR,Allopathic & Osteopathic Physicians,Internal Medicine,Geriatric Medicine,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,49,50,4.28,9.476,Geriatric Medicine
1508276213,1338,1508276213,BENJAMIN MADDOX,Allopathic & Osteopathic Physicians,Internal Medicine,,1629025648,SAINT THOMAS WEST HOSPITAL,33,58,0.0,0.0,Internal Medicine
1508821026,1381,1508821026,AYDIN OZAN,Allopathic & Osteopathic Physicians,Internal Medicine,,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,63,104,30.76,38.823,Internal Medicine
1508821026,1381,1508821026,AYDIN OZAN,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,38,56,41.982,45.034,Internal Medicine
1508822982,1359,1508822982,LYNNE STEVENSON,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,116,170,1.259,7.029,Cardiovascular Disease
1508830407,1340,1508830407,BRIAN JEFFERSON,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1992776405,"HCA HEALTH SERVICES OF TENNESSEE, INC.",63,78,37.551,52.063,Interventional Cardiology
